     ELL          D_ELL            ERR
       I              E              E
               muKcmb^2       muKcmb^2
     273   6.323000E+00   8.320000E-01
     274   5.185000E+00   8.440000E-01
     275   5.278000E+00   8.570000E-01
     276   5.273000E+00   8.700000E-01
     277   7.086000E+00   8.820000E-01
     278   4.543000E+00   8.950000E-01
     279   6.163000E+00   9.080000E-01
     280   4.955000E+00   9.220000E-01
     281   5.889000E+00   9.350000E-01
     282   6.149000E+00   9.490000E-01
     283   7.193000E+00   9.620000E-01
     284   6.446000E+00   9.760000E-01
     285   5.857000E+00   9.900000E-01
     286   5.565000E+00   1.004000E+00
     287   6.083000E+00   1.018000E+00
     288   4.523000E+00   1.032000E+00
     289   6.981000E+00   1.047000E+00
     290   7.790000E+00   1.061000E+00
     291   6.505000E+00   1.076000E+00
     292   8.249000E+00   1.091000E+00
     293   8.535000E+00   1.105000E+00
     294   7.834000E+00   1.120000E+00
     295   8.576000E+00   1.135000E+00
     296   8.645000E+00   1.150000E+00
     297   1.060600E+01   1.165000E+00
     298   1.107000E+01   1.180000E+00
     299   7.308000E+00   1.196000E+00
     300   7.149000E+00   1.211000E+00
     301   8.897000E+00   1.226000E+00
     302   8.496000E+00   1.242000E+00
     303   9.107000E+00   1.257000E+00
     304   1.159800E+01   1.273000E+00
     305   1.116600E+01   1.289000E+00
     306   1.073500E+01   1.304000E+00
     307   8.057000E+00   1.320000E+00
     308   1.084500E+01   1.336000E+00
     309   1.196900E+01   1.351000E+00
     310   7.851000E+00   1.367000E+00
     311   1.384700E+01   1.383000E+00
     312   1.311500E+01   1.399000E+00
     313   1.132000E+01   1.414000E+00
     314   1.059600E+01   1.430000E+00
     315   1.072900E+01   1.446000E+00
     316   1.236700E+01   1.462000E+00
     317   1.134000E+01   1.477000E+00
     318   1.099000E+01   1.493000E+00
     319   1.305300E+01   1.509000E+00
     320   1.205000E+01   1.525000E+00
     321   1.272600E+01   1.540000E+00
     322   1.464400E+01   1.556000E+00
     323   1.268900E+01   1.571000E+00
     324   1.442100E+01   1.587000E+00
     325   1.682000E+01   1.602000E+00
     326   1.565800E+01   1.618000E+00
     327   1.580200E+01   1.633000E+00
     328   1.546800E+01   1.648000E+00
     329   1.394700E+01   1.664000E+00
     330   1.347000E+01   1.679000E+00
     331   1.754900E+01   1.694000E+00
     332   1.492600E+01   1.709000E+00
     333   1.664300E+01   1.724000E+00
     334   1.320300E+01   1.738000E+00
     335   1.744600E+01   1.753000E+00
     336   1.579800E+01   1.767000E+00
     337   1.939600E+01   1.782000E+00
     338   1.376000E+01   1.796000E+00
     339   1.611100E+01   1.810000E+00
     340   1.904500E+01   1.824000E+00
     341   1.425000E+01   1.838000E+00
     342   1.717500E+01   1.852000E+00
     343   1.485000E+01   1.866000E+00
     344   1.520200E+01   1.879000E+00
     345   1.401300E+01   1.893000E+00
     346   1.688400E+01   1.906000E+00
