     ELL          D_ELL            ERR
       I              E              E
               muKcmb^2       muKcmb^2
     369   5.229300E+01   1.323000E+01
     370   4.442400E+01   1.317400E+01
     371   4.916000E+01   1.311800E+01
     372   4.190500E+01   1.306300E+01
     373   5.658700E+01   1.300900E+01
     374   5.505600E+01   1.295500E+01
     375   4.432500E+01   1.290200E+01
     376   5.209900E+01   1.284900E+01
     377   4.260800E+01   1.279800E+01
     378   4.158400E+01   1.274700E+01
     379   6.674200E+01   1.269800E+01
     380   3.795200E+01   1.264900E+01
     381   1.500500E+01   1.260100E+01
     382   2.184900E+01   1.255500E+01
     383   3.388300E+01   1.250900E+01
     384   3.808100E+01   1.246500E+01
     385   2.130600E+01   1.242200E+01
     386   2.799400E+01   1.238000E+01
     387   2.221700E+01   1.233900E+01
     388   4.649900E+01   1.229900E+01
     389   1.460300E+01   1.226100E+01
     390   1.419400E+01   1.222400E+01
     391   1.214900E+01   1.218800E+01
     392  -1.009900E+01   1.215400E+01
     393   4.075500E+01   1.212100E+01
     394   2.380000E+01   1.208900E+01
     395   8.946000E+00   1.205800E+01
     396   2.316600E+01   1.202900E+01
     397  -1.682200E+01   1.200200E+01
     398  -5.825000E+00   1.197500E+01
     399   8.100000E-01   1.195000E+01
     400  -8.920000E+00   1.192600E+01
     401   2.202700E+01   1.190400E+01
     402   1.706300E+01   1.188300E+01
     403  -6.976000E+00   1.186300E+01
     404   5.420000E-01   1.184400E+01
     405  -1.099800E+01   1.182700E+01
     406  -3.021400E+01   1.181100E+01
     407  -3.302600E+01   1.179600E+01
     408  -2.878300E+01   1.178200E+01
     409  -1.156000E+01   1.177000E+01
     410  -7.430000E+00   1.175800E+01
     411  -1.723400E+01   1.174800E+01
     412  -2.263600E+01   1.173800E+01
     413  -2.664800E+01   1.173000E+01
     414  -1.529300E+01   1.172200E+01
     415  -3.461400E+01   1.171600E+01
     416  -2.722900E+01   1.171000E+01
     417  -2.589300E+01   1.170600E+01
     418  -2.691200E+01   1.170200E+01
     419  -2.950900E+01   1.169800E+01
     420  -3.132400E+01   1.169600E+01
     421  -4.117300E+01   1.169400E+01
     422  -3.925500E+01   1.169300E+01
     423  -4.223200E+01   1.169200E+01
     424  -5.886900E+01   1.169200E+01
     425  -4.774200E+01   1.169300E+01
     426  -3.232400E+01   1.169400E+01
     427  -5.442800E+01   1.169500E+01
     428  -3.177200E+01   1.169700E+01
     429  -5.043100E+01   1.169900E+01
     430  -5.776800E+01   1.170100E+01
     431  -4.094300E+01   1.170300E+01
     432  -6.197200E+01   1.170600E+01
     433  -5.323500E+01   1.170900E+01
     434  -5.741000E+01   1.171200E+01
     435  -6.581200E+01   1.171500E+01
     436  -4.423300E+01   1.171800E+01
     437  -8.643300E+01   1.172100E+01
     438  -6.934000E+01   1.172300E+01
     439  -4.815000E+01   1.172600E+01
     440  -6.936100E+01   1.172900E+01
     441  -6.367300E+01   1.173200E+01
     442  -6.247700E+01   1.173400E+01
     443  -5.010700E+01   1.173600E+01
     444  -6.380400E+01   1.173800E+01
     445  -5.379000E+01   1.174000E+01
     446  -5.869300E+01   1.174100E+01
     447  -7.436700E+01   1.174200E+01
     448  -7.271400E+01   1.174300E+01
     449  -5.423600E+01   1.174400E+01
     450  -6.344500E+01   1.174400E+01
     451  -6.432200E+01   1.174300E+01
     452  -8.450800E+01   1.174200E+01
     453  -6.778600E+01   1.174100E+01
     454  -7.214000E+01   1.174000E+01
     455  -6.465500E+01   1.173700E+01
     456  -9.496900E+01   1.173500E+01
     457  -6.359400E+01   1.173200E+01
     458  -7.858300E+01   1.172800E+01
     459  -8.236300E+01   1.172400E+01
     460  -7.849400E+01   1.172000E+01
     461  -8.214400E+01   1.171500E+01
     462  -7.091300E+01   1.171000E+01
     463  -7.112100E+01   1.170400E+01
     464  -7.241400E+01   1.169700E+01
     465  -8.799900E+01   1.169100E+01
     466  -7.398900E+01   1.168300E+01
     467  -9.735600E+01   1.167600E+01
     468  -9.320600E+01   1.166800E+01
